"year","site_code","treatment_code","Biomass"
2008,"DBG","C1",5.745
2008,"DBG","N",18.255
2008,"DBG","NP",21.995
2008,"DBG","P",11.8625
2008,"EME","C1",18.705
2008,"EME","N",29.135
2008,"EME","NP",30.265
2008,"EME","P",22.34
2008,"EMW","C1",10.085
2008,"EMW","N",21.165
2008,"EMW","NP",24.8775
2008,"EMW","P",13.365
2008,"LDP","C1",15.4825
2008,"LDP","N",11.575
2008,"LDP","NP",42.065
2008,"LDP","P",20.7775
2008,"MCN","C1",5.67
2008,"MCN","N",27.9425
2008,"MCN","NP",64.4275
2008,"MCN","P",24.0775
2008,"MCS","C1",46.3825
2008,"MCS","N",40.3475
2008,"MCS","NP",38.7325
2008,"MCS","P",41.565
2008,"MVP","C1",16.71
2008,"MVP","N",21.4875
2008,"MVP","NP",35
2008,"MVP","P",22.005
2008,"PWP","C1",20.26
2008,"PWP","N",36.49
2008,"PWP","NP",43.915
2008,"PWP","P",24.39
2008,"SME","C1",33.1525
2008,"SME","N",24.9525
2008,"SME","NP",50.775
2008,"SME","P",44.4475
2008,"SMW","C1",20.6275
2008,"SMW","N",18.47
2008,"SMW","NP",27.345
2008,"SMW","P",20.9325
2008,"SNE","C1",17.65
2008,"SNE","N",15.1425
2008,"SNE","NP",24.3025
2008,"SNE","P",24.19
2008,"SNW","C1",15.1525
2008,"SNW","N",14.6625
2008,"SNW","NP",15.12
2008,"SNW","P",20.7125
2008,"SRR","C1",22.895
2008,"SRR","N",63.6075
2008,"SRR","NP",65.4975
2008,"SRR","P",41.4125
2008,"UMP","C1",6.3975
2008,"UMP","N",40.825
2008,"UMP","NP",36.025
2008,"UMP","P",18.1325
2008,"WTM","C1",39.485
2008,"WTM","N",41.2375
2008,"WTM","NP",60.69
2008,"WTM","P",33.405
2009,"DBG","C1",1.85
2009,"DBG","N",2.26
2009,"DBG","NP",6.4575
2009,"DBG","P",1.8925
2009,"EME","C1",6.495
2009,"EME","N",5.33
2009,"EME","NP",6.385
2009,"EME","P",4.235
2009,"EMW","C1",2.1625
2009,"EMW","N",4.5075
2009,"EMW","NP",5.03
2009,"EMW","P",2.73
2009,"LDP","C1",10.6525
2009,"LDP","N",9.3925
2009,"LDP","NP",24.2075
2009,"LDP","P",18.69
2009,"MCN","C1",10.1175
2009,"MCN","N",14.8425
2009,"MCN","NP",32.5125
2009,"MCN","P",12.8125
2009,"MCS","C1",17.0575
2009,"MCS","N",10.54
2009,"MCS","NP",21.215
2009,"MCS","P",26.8475
2009,"MVP","C1",3.52
2009,"MVP","N",4.225
2009,"MVP","NP",6.6075
2009,"MVP","P",3.3475
2009,"PWP","C1",4.4825
2009,"PWP","N",9.37
2009,"PWP","NP",7.78
2009,"PWP","P",5.47
2009,"SME","C1",8.1575
2009,"SME","N",8.19
2009,"SME","NP",12.17
2009,"SME","P",7.9325
2009,"SMW","C1",6.57
2009,"SMW","N",8
2009,"SMW","NP",12.55
2009,"SMW","P",4.6675
2009,"SNE","C1",3.2075
2009,"SNE","N",4.405
2009,"SNE","NP",4.1425
2009,"SNE","P",4.15
2009,"SNW","C1",3.545
2009,"SNW","N",5.81
2009,"SNW","NP",7.11
2009,"SNW","P",4.5725
2009,"SRR","C1",11.9725
2009,"SRR","N",24.0625
2009,"SRR","NP",52.2725
2009,"SRR","P",18.18
2009,"UMP","C1",7.025
2009,"UMP","N",13.7
2009,"UMP","NP",12.165
2009,"UMP","P",6.35
2009,"WTM","C1",14.435
2009,"WTM","N",18.395
2009,"WTM","NP",21.7175
2009,"WTM","P",15.89
2010,"DBG","C1",2.7525
2010,"DBG","N",7.1775
2010,"DBG","NP",13.66
2010,"DBG","P",6.4325
2010,"EME","C1",14.75
2010,"EME","N",27.815
2010,"EME","NP",45.6825
2010,"EME","P",19.36
2010,"EMW","C1",4.195
2010,"EMW","N",15.8425
2010,"EMW","NP",19.2275
2010,"EMW","P",13.4575
2010,"LDP","C1",8.5475
2010,"LDP","N",3.775
2010,"LDP","NP",50.045
2010,"LDP","P",9.72
2010,"MCN","C1",7.7575
2010,"MCN","N",48.495
2010,"MCN","NP",37.42
2010,"MCN","P",18.6025
2010,"MCS","C1",16.08
2010,"MCS","N",22.825
2010,"MCS","NP",40.2775
2010,"MCS","P",28.52
2010,"MVP","C1",14.0475
2010,"MVP","N",24.0425
2010,"MVP","NP",44.7
2010,"MVP","P",13.6325
2010,"PWP","C1",11.6475
2010,"PWP","N",19.1725
2010,"PWP","NP",41.83
2010,"PWP","P",15.7525
2010,"SME","C1",19.54
2010,"SME","N",20.1625
2010,"SME","NP",33.16
2010,"SME","P",19.7025
2010,"SMW","C1",12.17
2010,"SMW","N",28.4925
2010,"SMW","NP",35.375
2010,"SMW","P",11.1
2010,"SNE","C1",14.7125
2010,"SNE","N",26.61
2010,"SNE","NP",40.8575
2010,"SNE","P",12.9775
2010,"SNW","C1",12.1525
2010,"SNW","N",17.175
2010,"SNW","NP",19.3375
