"year","season","plot","quad","treatment","cover_sd","cover_mean","cover_sum","volume_sd","volume_mean","volume_sum","biomass.BM_sd","biomass.BM_mean","biomass.BM_sum","biomass.BIM_sd","biomass.BIM_mean","biomass.BIM_sum","MetStation_sd","MetStation_mean","MetStation_sum","season.precip_sd","season.precip_mean","season.precip_sum","GDD_sd","GDD_mean","GDD_sum","SPEI.comp_sd","SPEI.comp_mean","SPEI.comp_sum"
2004,"fall",1,1,"F",8.65163760991717,8.73333333333333,26.2,71.5524283305605,60.5,181.5,19.9084063040064,20.4729857966667,61.41895739,21.0070308772047,21.2588166666667,63.77645,0,40,120,0,149.033,447.099,0,4107.019153,12321.057459,0,-0.604646946,-1.813940838
2004,"fall",1,2,"F",11.2532495306911,8.1625,32.65,147.029976393705,102.2125,408.85,25.8642825785886,18.80162193475,75.206487739,27.5530306587588,19.553975,78.2159,0,40,160,0,149.033,596.132,0,4107.019153,16428.076612,0,-0.604646946,-2.418587784
2004,"fall",1,3,"F",5.52485293921929,4.25,25.5,80.1972484981041,57.3833333333333,344.3,13.011041644729,9.49228010716667,56.953680643,13.7811613175529,9.59179166666667,57.55075,0,40,240,0,149.033,894.198,0,4107.019153,24642.114918,0,-0.604646946,-3.627881676
2004,"fall",1,4,"F",9.30165307888872,6.38,31.9,192.656775769761,103.52,517.6,19.8313891987457,12.862254808,64.31127404,18.1516715187128,12.10392,60.5196,0,40,200,0,149.033,745.165,0,4107.019153,20535.095765,0,-0.604646946,-3.02323473
2004,"fall",2,1,"C",7.8,5.7,17.1,48.2482210380169,35.7333333333333,107.2,18.1775949847807,12.84555667,38.53667001,19.3407047193219,13.4302,40.2906,0,40,120,0,149.033,447.099,0,4107.019153,12321.057459,0,-0.604646946,-1.813940838
2004,"fall",2,2,"C",3.17324754786008,2.53,12.65,25.8195274937401,22.39,111.95,7.67013060919582,5.706634414,28.53317207,7.96992925671238,5.86952,29.3476,0,40,200,0,149.033,745.165,0,4107.019153,20535.095765,0,-0.604646946,-3.02323473
2004,"fall",2,3,"C",4.137118562478,3.92,19.6,54.8968988195144,47.23,236.15,10.1331978052805,7.68467133,38.42335665,10.6487598246462,8.01426,40.0713,0,40,200,0,149.033,745.165,0,4107.019153,20535.095765,0,-0.604646946,-3.02323473
2004,"fall",2,4,"C",3.45496020237571,3.81,19.05,38.8227542814778,37.35,186.75,8.47647717590729,7.479628192,37.39814096,8.91628947470583,7.78916,38.9458,0,40,200,0,149.033,745.165,0,4107.019153,20535.095765,0,-0.604646946,-3.02323473
2004,"fall",3,1,"C",7.65310394545899,6.25,18.75,123.148460539843,81.9833333333333,245.95,16.4990441432832,12.5624701096667,37.687410329,14.9513649913924,11.7622833333333,35.28685,0,40,120,0,149.033,447.099,0,4107.019153,12321.057459,0,-0.604646946,-1.813940838
2004,"fall",3,2,"C",5.02593274925163,4.05,20.25,39.1435882361339,39.99,199.95,11.906603186361,8.579693764,42.89846882,12.5027056954885,8.61346,43.0673,0,40,200,0,149.033,745.165,0,4107.019153,20535.095765,0,-0.604646946,-3.02323473
2004,"fall",3,3,"C",3.97249921334165,3.425,20.55,62.494461087897,49.9666666666667,299.8,8.44239815049774,6.88753564666667,41.32521388,7.92273907335188,6.67370833333333,40.04225,0,40,240,0,149.033,894.198,0,4107.019153,24642.114918,0,-0.604646946,-3.627881676
2004,"fall",3,4,"C",3.57088924499207,7.725,15.45,45.6083873865323,68.25,136.5,6.51061600947292,16.64932918,33.29865836,4.90134600913361,16.080975,32.16195,0,40,80,0,149.033,298.066,0,4107.019153,8214.038306,0,-0.604646946,-1.209293892
2004,"fall",4,1,"F",10.3127861576459,9.6825,38.73,170.17131495447,166.505,666.02,21.3306979876496,22.42475879,89.69903516,19.4417906028489,21.5685525,86.27421,0,40,160,0,149.033,596.132,0,4107.019153,16428.076612,0,-0.604646946,-2.418587784
2004,"fall",4,2,"F",5.76241413529665,5.00833333333333,30.05,90.6498023531583,80.2833333333333,481.7,11.7395048769106,11.3386553823333,68.031932294,10.387385036207,11.0175083333333,66.10505,0,40,240,0,149.033,894.198,0,4107.019153,24642.114918,0,-0.604646946,-3.627881676
2004,"fall",4,3,"F",10.4043260233424,10.75,32.25,174.788622341387,141.75,425.25,20.6346466648666,23.21264402,69.63793206,18.3871607044381,22.1933333333333,66.58,0,40,120,0,149.033,447.099,0,4107.019153,12321.057459,0,-0.604646946,-1.813940838
2004,"fall",4,4,"F",11.1632861798546,8.2125,32.85,205.878574144243,128.3625,513.45,22.695268839083,17.5907907175,70.36316287,20.8008070156094,16.7693125,67.07725,0,40,160,0,149.033,596.132,0,4107.019153,16428.076612,0,-0.604646946,-2.418587784
2004,"fall",5,1,"C",15.5917045251634,14.375,28.75,234.193765928985,194,388,31.2531680468636,30.0044905305,60.008981061,28.5039693243766,28.28245,56.5649,0,40,80,0,149.033,298.066,0,4107.019153,8214.038306,0,-0.604646946,-1.209293892
2004,"fall",5,2,"C",7.0947750727795,8.43333333333333,25.3,100.447851312675,103.983333333333,311.95,15.7175572010529,18.3303328333333,54.9909985,15.4439813236689,17.9809166666667,53.94275,0,40,120,0,149.033,447.099,0,4107.019153,12321.057459,0,-0.604646946,-1.813940838
2004,"fall",5,3,"C",5.52893901817217,4.475,17.9,90.6732733499789,64.975,259.9,11.3105645639475,9.91215584625,39.648623385,10.1348067080318,9.361875,37.4475,0,40,160,0,149.033,596.132,0,4107.019153,16428.076612,0,-0.604646946,-2.418587784
2004,"fall",5,4,"C",7.42593428465402,5.33,26.65,116.511729023305,81.01,405.05,15.2799400722704,12.0961136074,60.480568037,14.034799548337,11.55718,57.7859,0,40,200,0,149.033,745.165,0,4107.019153,20535.095765,0,-0.604646946,-3.02323473
2004,"fall",6,1,"F",6.34996062979921,4.73,23.65,119.549390420863,72.01,360.05,13.9222854675305,9.685402932,48.42701466,12.444138520886,9.15733,45.78665,0,40,200,0,149.033,745.165,0,4107.019153,20535.095765,0,-0.604646946,-3.02323473
2004,"fall",6,2,"F",6.40195282706769,5.95,23.8,120.576697582908,92.4,369.6,13.5768381314368,12.7273722525,50.90948901,12.2312176951285,12.1984625,48.79385,0,40,160,0,149.033,596.132,0,4107.019153,16428.076612,0,-0.604646946,-2.418587784
2004,"fall",6,3,"F",9.31419615425829,5.36,26.8,185.418551526,96.46,482.3,19.0273384123728,11.3261562846,56.630781423,17.5044170719636,10.72736,53.6368,0,40,200,0,149.033,745.165,0,4107.019153,20535.095765,0,-0.604646946,-3.02323473
2004,"fall",6,4,"F",9.95275296923754,8.6875,34.75,180.901374488053,130.3125,521.25,21.0203571521022,15.807474092,63.229896368,18.9548352322644,15.4994375,61.99775,0,40,160,0,149.033,596.132,0,4107.019153,16428.076612,0,-0.604646946,-2.418587784
2004,"fall",7,1,"C",2.52423105603319,2.74166666666667,32.9,79.9439448500124,50.225,602.7,6.01380002183957,5.53515711458333,66.421885375,5.99900121875729,5.52775833333333,66.3331,0,40,480,0,149.033,1788.396,0,4107.019153,49284.229836,0,-0.604646946,-7.255763352
2004,"fall",7,2,"C",1.14265772069621,1.83333333333333,11,13.3167344595688,24.3583333333333,146.15,3.10861837787502,3.66161640716667,21.969698443,3.23407953392461,3.542775,21.25665,0,40,240,0,149.033,894.198,0,4107.019153,24642.114918,0,-0.604646946,-3.627881676
2004,"fall",7,3,"C",6.02017441607799,5.1,15.3,92.7043733236644,89.3166666666667,267.95,12.359377157384,11.08947954,33.26843862,10.8960763656388,10.4232833333333,31.26985,0,40,120,0,149.033,447.099,0,4107.019153,12321.057459,0,-0.604646946,-1.813940838
2004,"fall",7,4,"C",4.47478384686797,2.95714285714286,20.7,63.8066769531961,38.9071428571429,272.35,9.64820137332512,6.10242540857143,42.71697786,8.86897222092815,5.83376428571429,40.83635,0,40,280,0,149.033,1043.231,0,4107.019153,28749.134071,0,-0.604646946,-4.232528622
2004,"fall",8,1,"F",5.09215082258961,3.63333333333333,32.7,42.7406430630664,33.1777777777778,298.6,3.58033377035731,4.06478645022222,36.583078052,4.25939860275518,4.44064444444444,39.9658,0,40,360,0,149.033,1341.297,0,4107.019153,36963.172377,0,-0.604646946,-5.441822514
2004,"fall",8,2,"F",4.37523332711144,2.79,27.9,158.322004945617,64.885,648.85,4.99284238117362,3.7583329488,37.583329488,5.14913014099361,3.78535,37.8535,0,40,400,0,149.033,1490.33,0,4107.019153,41070.19153,0,-0.604646946,-6.04646946
2004,"fall",8,3,"F",6.61185803437027,4.08333333333333,24.5,70.994321956055,39.875,239.25,3.76188238319939,3.84223112316667,23.053386739,4.59778705579289,4.50670833333333,27.04025,0,40,240,0,149.033,894.198,0,4107.019153,24642.114918,0,-0.604646946,-3.627881676
2004,"fall",8,4,"F",4.94292423571311,3.65,25.55,78.9860995908231,51.6357142857143,361.45,3.08212421148001,3.71277657142857,25.989436,3.49347265852094,4.03865,28.27055,0,40,280,0,149.033,1043.231,0,4107.019153,28749.134071,0,-0.604646946,-4.232528622
