"Block_Plot","DATE","YEAR_mean","YEAR_sd","Reported_CO2_Flux_ug_C_cm-2_hr-1_mean","Reported_CO2_Flux_ug_C_cm-2_hr-1_sd","Reported_CH4_Flux_ng_C_cm-2_hr-1_mean","Reported_CH4_Flux_ng_C_cm-2_hr-1_sd","Reported_N2O_Flux_ng_N_cm-2_hr-1_mean","Reported_N2O_Flux_ng_N_cm-2_hr-1_sd"
"A-1",2003-01-22,2003,0,12.148,4.3990760393519,0,0,-2.076,1.52168656430948
"A-1",2003-02-21,2003,0,10.135,5.21844485135818,0,0,-2.0875,2.79176616738102
"A-1",2003-03-20,2003,0,9.83,5.57660290858153,0,0,0,0
"A-1",2003-04-21,2003,0,7.354,0.861237481766789,0,0,-0.196,0.438269323589959
"A-1",2003-05-23,2003,0,11.122,2.86157648858108,0.398,0.889955055044916,-0.38,0.53103672189407
"A-1",2003-06-26,2003,0,19.106,13.6684574842957,0,0,-0.9,2.01246117974981
"A-1",2003-08-04,2003,0,NA,NA,NA,NA,NA,NA
"A-1",2003-08-27,2003,0,16.216,3.99945996354508,0,0,0,0
"A-1",2003-09-25,2003,0,21.3,7.97404226224065,0,0,0.264,0.590321946059944
"A-1",2003-10-30,2003,0,13.016,4.86827792961741,0,0,-1.892,3.42583128598009
"A-1",2003-11-28,2003,0,11.434,3.64053292802029,-1.096,5.06702378127437,-0.55,0.522206855565876
"A-1",2003-12-22,2003,0,10.408,3.34369855100606,0,0,-1.136,0.852132618786536
"A-1",2004-01-30,2004,0,13.238,4.6251940499832,-3.662,5.19772257820673,-1.892,1.69144021472827
"A-1",2004-02-26,2004,0,10.052,2.28645358579613,0,0,-1.99,3.63201734577356
"A-1",2004-03-26,2004,0,10.384,0.647711355466307,-1.274,1.93224739616851,-0.072,0.160996894379985
"A-1",2004-04-30,2004,0,14.688,6.73362977895281,-8.926,11.6464428045648,-0.252,0.563489130329947
"A-1",2004-05-26,2004,0,17.038,7.08685191040422,32.858,73.4727216046881,-0.014,0.689695585022842
"A-1",2004-06-25,2004,0,20.244,6.83238830863703,-0.672,8.59633177582159,0.196,0.268477187112797
