"Data set title: Christopher B. Craft. 2024. Percent cover measurements of four site-dominant species from the GCE-LTER Seawater Addition Long-Term Experiment (SALTEx) Project. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCED-2404; /data/PLT-GCED-2404)",,,,
,,,,,
"Date","Treatment","Replicate","Percent_Cover","Species"
"YYYY-MM-DD","none","none","percent","none"
"datetime","nominal","nominal","data","text"
2013-07-15,"Control",1,100,"Persicaria hydropiperoides"
2013-07-15,"Control",2,95,"Persicaria hydropiperoides"
2013-07-15,"Control",3,100,"Persicaria hydropiperoides"
2013-07-15,"Control",4,100,"Persicaria hydropiperoides"
2013-07-15,"Control",5,100,"Persicaria hydropiperoides"
2013-07-15,"Control",6,80,"Persicaria hydropiperoides"
2013-07-15,"Control with frame",1,100,"Persicaria hydropiperoides"
2013-07-15,"Control with frame",2,100,"Persicaria hydropiperoides"
2013-07-15,"Control with frame",3,100,"Persicaria hydropiperoides"
2013-07-15,"Control with frame",4,100,"Persicaria hydropiperoides"
2013-07-15,"Control with frame",5,100,"Persicaria hydropiperoides"
2013-07-15,"Control with frame",6,100,"Persicaria hydropiperoides"
2013-07-15,"Freshwater addition",1,100,"Persicaria hydropiperoides"
2013-07-15,"Freshwater addition",2,100,"Persicaria hydropiperoides"
2013-07-15,"Freshwater addition",3,100,"Persicaria hydropiperoides"
2013-07-15,"Freshwater addition",4,85,"Persicaria hydropiperoides"
2013-07-15,"Freshwater addition",5,100,"Persicaria hydropiperoides"
2013-07-15,"Freshwater addition",6,100,"Persicaria hydropiperoides"
2013-07-15,"Press of saline addition",1,100,"Persicaria hydropiperoides"
2013-07-15,"Press of saline addition",2,100,"Persicaria hydropiperoides"
2013-07-15,"Press of saline addition",3,70,"Persicaria hydropiperoides"
2013-07-15,"Press of saline addition",4,100,"Persicaria hydropiperoides"
2013-07-15,"Press of saline addition",5,90,"Persicaria hydropiperoides"
2013-07-15,"Press of saline addition",6,80,"Persicaria hydropiperoides"
2013-07-15,"Pulse of saline addition",1,90,"Persicaria hydropiperoides"
2013-07-15,"Pulse of saline addition",2,100,"Persicaria hydropiperoides"
2013-07-15,"Pulse of saline addition",3,100,"Persicaria hydropiperoides"
2013-07-15,"Pulse of saline addition",4,100,"Persicaria hydropiperoides"
2013-07-15,"Pulse of saline addition",5,90,"Persicaria hydropiperoides"
2013-07-15,"Pulse of saline addition",6,100,"Persicaria hydropiperoides"
2014-07-31,"Control",1,100,"Persicaria hydropiperoides"
2014-07-31,"Control",2,100,"Persicaria hydropiperoides"
2014-07-31,"Control",3,100,"Persicaria hydropiperoides"
2014-07-31,"Control",4,100,"Persicaria hydropiperoides"
2014-07-31,"Control",5,80,"Persicaria hydropiperoides"
2014-07-31,"Control",6,100,"Persicaria hydropiperoides"
2014-07-31,"Control with frame",1,100,"Persicaria hydropiperoides"
2014-07-31,"Control with frame",2,100,"Persicaria hydropiperoides"
2014-07-31,"Control with frame",3,90,"Persicaria hydropiperoides"
2014-07-31,"Control with frame",4,100,"Persicaria hydropiperoides"
2014-07-31,"Control with frame",5,100,"Persicaria hydropiperoides"
2014-07-31,"Control with frame",6,100,"Persicaria hydropiperoides"
2014-07-31,"Freshwater addition",1,100,"Persicaria hydropiperoides"
2014-07-31,"Freshwater addition",2,80,"Persicaria hydropiperoides"
2014-07-31,"Freshwater addition",3,90,"Persicaria hydropiperoides"
2014-07-31,"Freshwater addition",4,100,"Persicaria hydropiperoides"
2014-07-31,"Freshwater addition",5,80,"Persicaria hydropiperoides"
2014-07-31,"Freshwater addition",6,100,"Persicaria hydropiperoides"
2014-07-31,"Press of saline addition",1,10,"Persicaria hydropiperoides"
2014-07-31,"Press of saline addition",2,30,"Persicaria hydropiperoides"
2014-07-31,"Press of saline addition",3,20,"Persicaria hydropiperoides"
2014-07-31,"Press of saline addition",4,5,"Persicaria hydropiperoides"
2014-07-31,"Press of saline addition",5,0,"Persicaria hydropiperoides"
2014-07-31,"Press of saline addition",6,0,"Persicaria hydropiperoides"
2014-07-31,"Pulse of saline addition",1,90,"Persicaria hydropiperoides"
2014-07-31,"Pulse of saline addition",2,90,"Persicaria hydropiperoides"
2014-07-31,"Pulse of saline addition",3,100,"Persicaria hydropiperoides"
2014-07-31,"Pulse of saline addition",4,100,"Persicaria hydropiperoides"
2014-07-31,"Pulse of saline addition",5,100,"Persicaria hydropiperoides"
2014-07-31,"Pulse of saline addition",6,80,"Persicaria hydropiperoides"
2015-07-20,"Control",1,50,"Persicaria hydropiperoides"
2015-07-20,"Control",2,100,"Persicaria hydropiperoides"
2015-07-20,"Control",3,90,"Persicaria hydropiperoides"
2015-07-20,"Control",4,100,"Persicaria hydropiperoides"
2015-07-20,"Control",5,100,"Persicaria hydropiperoides"
2015-07-20,"Control",6,70,"Persicaria hydropiperoides"
2015-07-20,"Control with frame",1,90,"Persicaria hydropiperoides"
2015-07-20,"Control with frame",2,70,"Persicaria hydropiperoides"
2015-07-20,"Control with frame",3,0,"Persicaria hydropiperoides"
2015-07-20,"Control with frame",4,100,"Persicaria hydropiperoides"
2015-07-20,"Control with frame",5,100,"Persicaria hydropiperoides"
2015-07-20,"Control with frame",6,90,"Persicaria hydropiperoides"
2015-07-20,"Control with frame",7,0,"Persicaria hydropiperoides"
