#,"Christian, R.R. 2009. End of Year Biomass for the 1st UPC Inundation"
#,"Experiment in Upper Phillips Creek marsh 1999-2014. Virginia Coast Reserve"
#,"Long-Term Ecological Research Project Data Publication knb-lter-vcr.168.24"
#,"(DOI: 10.6073/pasta/3854929ce06dc8c667eff9615adb730f)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-vcr.168.24
#,
#,For additional information about the data contact: Robert Christian
#,(christianr@ecu.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014, DEB-1237733 and DEB-1832221. VCR/LTER:
#,http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
EOYBYear,collectDate,sortDate,marshName,marshAbbrev,siteName,monitoringPurpose,marshRegion,isExperiment,Transect,locationID,locationName,Replicate,speciesName,ITISID,liveMass,deadMass,unknownMass,totalMass,sampleComment,latitude,longitude
1994,10/16/1994,NA,"Upper Phillips Creek InundExp1, Plot 1",UPF1,UPM,InundExp1,1,1,V,10,Outside Juncus,b,Distichlis spicata,40662,9.05,12,0,21.05,NA,37.46,-75.833
1994,10/16/1994,NA,"Upper Phillips Creek InundExp1, Plot 1",UPF1,UPM,InundExp1,1,1,W,9,Inside Juncus,b,Distichlis spicata,40662,0,0.18,0,0.18,NA,37.46,-75.833
1994,10/16/1994,NA,"Upper Phillips Creek InundExp1, Plot 1",UPF1,UPM,InundExp1,1,1,W,9,Inside Juncus,a,Distichlis spicata,40662,0,0.3,0,0.3,NA,37.46,-75.833
1994,10/16/1994,NA,"Upper Phillips Creek InundExp1, Plot 1",UPF1,UPM,InundExp1,1,1,W,10,Outside Juncus,b,Distichlis spicata,40662,14.89,3.3,0,18.19,NA,37.46,-75.833
1994,10/16/1994,NA,"Upper Phillips Creek InundExp1, Plot 1",UPF1,UPM,InundExp1,1,1,V,10,Outside Juncus,a,Distichlis spicata,40662,2.8,1.26,0,4.06,NA,37.46,-75.833
1994,10/16/1994,NA,"Upper Phillips Creek InundExp1, Plot 1",UPF1,UPM,InundExp1,1,1,V,9,Inside Juncus,b,Distichlis spicata,40662,0,1.03,0,1.03,NA,37.46,-75.833
1994,10/16/1994,NA,"Upper Phillips Creek InundExp1, Plot 1",UPF1,UPM,InundExp1,1,1,W,10,Outside Juncus,a,Distichlis spicata,40662,0.61,5.76,0,6.37,NA,37.46,-75.833
1994,10/16/1994,NA,"Upper Phillips Creek InundExp1, Plot 1",UPF1,UPM,InundExp1,1,1,W,9,Inside Juncus,b,Juncus roemerianus,39238,0,13.82,NA,NA,NA,37.46,-75.833
1994,10/16/1994,NA,"Upper Phillips Creek InundExp1, Plot 1",UPF1,UPM,InundExp1,1,1,W,9,Inside Juncus,a,Juncus roemerianus,39238,0,6.86,NA,NA,NA,37.46,-75.833
1994,10/16/1994,NA,"Upper Phillips Creek InundExp1, Plot 1",UPF1,UPM,InundExp1,1,1,V,10,Outside Juncus,b,Juncus roemerianus,39238,2.52,2.42,NA,NA,NA,37.46,-75.833
