"","source","Date","Treatment","means","response_sd","sample_size","CV"
"1","AND_plant_biomass_2002-2021_processed.csv","2002","1",1.73333333333333,NA,1,NA
"2","AND_plant_biomass_2002-2021_processed.csv","2002","14",0.38,0.254558441227157,2,0.669890634808308
"3","AND_plant_biomass_2002-2021_processed.csv","2002","18",0.49375,0.291681547239451,2,0.590747437446989
"4","AND_plant_biomass_2002-2021_processed.csv","2002","19",0.777777777777778,NA,1,NA
"5","AND_plant_biomass_2002-2021_processed.csv","2002","20",2.39,NA,1,NA
"6","AND_plant_biomass_2002-2021_processed.csv","2002","21",4.7,NA,1,NA
"7","AND_plant_biomass_2002-2021_processed.csv","2002","22",3.53,NA,1,NA
"8","AND_plant_biomass_2002-2021_processed.csv","2002","23",0.6,NA,1,NA
"9","AND_plant_biomass_2002-2021_processed.csv","2002","24",0.342857142857143,NA,1,NA
"10","AND_plant_biomass_2002-2021_processed.csv","2002","26",0.442857142857143,NA,1,NA
"11","AND_plant_biomass_2002-2021_processed.csv","2002","3",0.4,NA,1,NA
"12","AND_plant_biomass_2002-2021_processed.csv","2002","39",1.775,0.247487373415292,2,0.13942950614946
"13","AND_plant_biomass_2002-2021_processed.csv","2002","4",0.233333333333333,NA,1,NA
"14","AND_plant_biomass_2002-2021_processed.csv","2002","41",0.480952380952381,0.356920565741781,2,0.7421120673839
"15","AND_plant_biomass_2002-2021_processed.csv","2002","43",1.45420168067227,1.18782055091757,2,0.816819679625488
"16","AND_plant_biomass_2002-2021_processed.csv","2002","45",1.6,NA,1,NA
"17","AND_plant_biomass_2002-2021_processed.csv","2002","47",0.7,NA,1,NA
"18","AND_plant_biomass_2002-2021_processed.csv","2002","49",1.55714285714286,NA,1,NA
"19","AND_plant_biomass_2002-2021_processed.csv","2002","54",1.12666666666667,NA,1,NA
"20","AND_plant_biomass_2002-2021_processed.csv","2002","56",0.333333333333333,NA,1,NA
"21","AND_plant_biomass_2002-2021_processed.csv","2002","58",0.873684210526316,NA,1,NA
"22","AND_plant_biomass_2002-2021_processed.csv","2002","59",1.96666666666667,NA,1,NA
"23","AND_plant_biomass_2002-2021_processed.csv","2002","6",0.827272727272727,NA,1,NA
"24","AND_plant_biomass_2002-2021_processed.csv","2002","60",1.12857142857143,NA,1,NA
"25","AND_plant_biomass_2002-2021_processed.csv","2002","61",0.325,NA,1,NA
"26","AND_plant_biomass_2002-2021_processed.csv","2002","63",0.55,NA,1,NA
"27","AND_plant_biomass_2002-2021_processed.csv","2002","65",0.625,0.106066017177982,2,0.169705627484771
"28","AND_plant_biomass_2002-2021_processed.csv","2002","66",1.77106227106227,0.727827859023516,2,0.410955543978117
